plantID,datetimeRecorded,leafTemp,ambientTemp,soilMoisture,redStrength,greenStrength,blueStrength,lightnessStrength,greenMagentaStrength,blueYellowStrength,hueStrength,saturationStrength,valueStrength
4,2021-07-23 12:42:45,23.05,24.05,1015.0,75.6381,105.860466,54.33382,104.13775,108.334335,152.65508,45.1994,140.78918,107.9731
6,2021-07-23 13:18:59,23.15,23.87,912.0,88.96945,121.11458,59.31989,119.56069,105.996445,157.80043,47.473927,146.04051,124.99871
3,2021-07-23 13:30:36,25.618,24.47,1011.0,80.51739,110.37978,52.166813,108.57191,106.9045,156.26015,44.57464,146.03351,110.96819
2,2021-07-23 14:31:35,23.11,24.73,1014.0,82.89316,115.597206,60.65428,113.603195,106.59892,154.12396,45.104065,132.69736,116.914536
4,2021-07-23 14:43:07,23.21,24.15,1015.0,75.008,110.48648,61.5048,108.81844,106.46885,151.03265,51.023792,135.60086,112.56558
6,2021-07-23 15:20:33,23.11,23.97,929.0,133.67096,120.808914,66.608795,129.13242,125.84699,159.08672,25.3449,142.23096,141.15506
3,2021-07-23 15:31:03,23.79,25.13,1016.0,99.243034,125.17315,63.605137,124.93835,107.83654,158.29813,43.937366,133.67662,125.99656
5,2021-07-23 15:51:42,22.83,24.73,849.0,156.59926,158.853,79.93711,160.7272,116.78704,167.39777,28.597881,133.84627,166.21718
4,2021-07-23 16:43:42,24.41,28.23,1015.0,85.804245,84.872665,40.50035,87.2819,122.23053,152.09694,26.01703,151.45032,92.277054
2,2021-07-23 18:35:37,23.65,25.83,1015.0,73.07527,101.74191,52.317574,99.95436,108.583984,151.97478,44.362297,136.03519,102.75533
5,2021-07-23 19:52:43,22.83,24.35,872.0,83.35474,127.49599,67.79466,123.815186,101.36223,155.30978,52.50512,134.90765,127.562065
2,2021-07-23 20:36:00,23.57,24.61,1015.0,79.48756,115.36278,60.402588,113.43289,105.27383,154.20763,47.82583,134.39668,116.883446
4,2021-07-23 20:47:48,24.03,24.75,1005.0,66.03108,98.98587,58.95141,98.00647,108.49795,147.08463,52.91969,130.97968,101.65778
1,2021-07-23 21:10:02,23.17,23.97,1015.0,71.78103,102.85447,61.40892,102.316895,108.33111,147.8718,53.53058,113.21004,103.16425
6,2021-07-23 21:22:22,22.81,23.55,962.0,62.35858,79.42236,47.821224,79.79102,115.16464,144.36844,51.94724,121.15125,82.76299
2,2021-07-23 22:36:20,23.29,24.25,1015.0,75.85788,89.86236,49.365425,91.50598,115.014275,149.3591,41.667328,113.1741,89.86283
4,2021-07-23 22:48:04,23.51,29.07,1014.0,41.708397,55.458164,26.418343,54.249138,116.249855,144.08562,45.467842,135.71391,55.718155
5,2021-07-23 23:53:15,21.85,23.35,806.0,51.74089,68.84809,35.429146,68.51318,114.31206,145.86166,45.97335,124.45096,68.849304
2,2021-07-24 00:36:40,22.89,23.79,1015.0,74.01034,89.96578,50.77882,91.34013,114.33682,148.40189,43.507755,109.20038,89.96578
1,2021-07-24 01:10:38,22.37,23.27,1015.0,71.33015,90.70361,52.03941,91.7895,112.89686,147.86076,45.45733,108.55109,90.70361
2,2021-07-24 02:37:02,22.83,23.71,1015.0,73.72635,87.27702,49.388813,88.98397,115.55258,148.04297,42.05815,108.641594,87.27702
4,2021-07-24 02:48:36,22.99,23.41,1012.0,40.00571,54.012817,26.721977,52.62114,116.35865,143.09334,46.787872,131.0088,54.283867
1,2021-07-24 03:10:56,22.23,23.11,1015.0,69.32914,90.83415,52.40646,91.57321,112.040855,147.49701,47.15554,107.73205,90.83415
6,2021-07-24 03:23:10,21.91,22.59,881.0,54.83484,66.48293,35.64973,66.480576,116.95612,145.0072,44.0793,122.92043,68.445854
2,2021-07-24 04:37:21,22.81,23.65,1015.0,72.38767,85.30112,48.208984,86.934395,115.94055,147.6752,42.130672,108.09398,85.30112
4,2021-07-24 04:48:53,23.05,23.49,1007.0,40.258415,54.73965,28.783104,53.46051,116.44626,142.20486,48.766182,125.07196,55.329315
3,2021-07-24 05:34:40,22.99,23.71,975.0,35.628063,48.63109,27.557133,46.76092,117.85777,139.47272,49.392822,120.16511,48.76256
5,2021-07-24 05:54:03,21.27,22.73,886.0,61.41841,94.15826,64.5982,93.221245,109.8373,141.32623,61.98064,113.88924,94.24698
4,2021-07-24 06:49:12,22.95,23.43,1015.0,65.447624,99.47483,61.481,98.43713,108.14042,145.83168,57.374523,126.287125,100.61006
1,2021-07-24 07:11:31,22.07,22.87,1004.0,85.0798,123.638176,71.74425,121.96245,104.39946,152.12291,54.085648,117.56363,124.492325
6,2021-07-24 07:23:43,21.77,22.53,893.0,77.29514,109.29132,63.78711,108.44831,107.93703,149.74301,53.79985,127.6909,112.12322
